N 종목명    현재가    전일비    등락률    액면가    시가총액   상장주식수  외국인비율  거래량    PER    ROE    
1,삼성전자,"65,700",700,+1.08%,100,"3,922,147","5,969,783",51.34,"18,734,951",8.15,17.07,
2,LG에너지솔루션,"596,000","16,000",+2.76%,500,"1,394,640","234,000",5.35,"594,596",180.33,5.75,
3,SK하이닉스,"90,700","1,600",+1.80%,"5,000","660,298","728,002",49.52,"5,376,173",29.61,3.56,
4,삼성바이오로직스,"803,000","7,000",+0.88%,"2,500","571,527","71,174",10.65,"61,557",70.37,11.42,
5,LG화학,"750,000","36,000",+5.04%,"5,000","529,443","70,592",48.49,"434,446",31.81,6.95,
6,삼성SDI,"749,000","11,000",+1.49%,"5,000","515,046","68,765",49.29,"347,787",27.00,12.52,
7,삼성전자우,"55,800","1,000",+1.82%,100,"459,171","822,887",71.48,"1,813,688",6.93,N/A,
8,현대차,"185,900",800,+0.43%,"5,000","393,237","211,532",30.91,"479,257",6.99,9.36,
9,POSCO홀딩스,"398,500","29,000",+7.85%,"5,000","337,016","84,571",45.09,"3,368,583",10.93,6.11,
10,기아,"81,000",900,+1.12%,"5,000","328,344","405,363",36.57,"1,007,334",6.07,14.57,
11,NAVER,"193,000",400,-0.21%,100,"316,615","164,049",47.46,"781,135",41.65,3.29,
12,카카오,"58,100",500,-0.85%,100,"258,927","445,657",26.04,"2,092,907",19.13,13.54,
13,포스코퓨처엠,"305,000","9,000",+3.04%,500,"236,263","77,463",8.11,"1,735,764",199.74,4.87,
14,셀트리온,"163,900","4,400",+2.76%,"1,000","230,803","140,819",20.27,"690,043",44.57,13.35,
15,현대모비스,"213,500",0,0.00%,"5,000","201,299","94,285",36.49,"180,226",8.12,6.80,
16,삼성물산,"106,300",600,-0.56%,100,"198,661","186,887",17.49,"230,143",9.80,7.16,
17,KB금융,"46,550",450,-0.96%,"5,000","190,342","408,897",71.59,"845,708",4.36,9.17,
18,LG전자,"113,000","1,300",-1.14%,"5,000","184,922","163,648",27.59,"1,013,042",17.08,6.61,
19,SK이노베이션,"197,700","14,200",+7.74%,"5,000","182,804","92,466",24.17,"2,273,579",11.81,8.49,
20,신한지주,"34,550",350,-1.00%,"5,000","174,515","505,108",62.33,"928,378",3.95,9.70,
21,LG,"84,500",900,+1.08%,"5,000","132,919","157,301",35.88,"172,963",6.84,8.48,
22,SK,"171,300",200,+0.12%,200,"127,018","74,149",23.02,"100,042",11.65,5.13,
23,삼성생명,"61,500",100,-0.16%,500,"123,000","200,000",15.38,"160,663",7.77,5.73,
24,하나금융지주,"40,450",350,-0.86%,"5,000","119,693","295,903",70.86,"625,210",3.39,10.06,
25,한국전력,"18,080",0,0.00%,"5,000","116,067","641,964",14.41,"887,634",-0.47,-46.91,
26,삼성전기,"153,400",500,-0.32%,"5,000","114,580","74,694",29.69,"314,992",12.14,13.76,
27,KT&G,"83,000",400,-0.48%,"5,000","113,953","137,292",44.24,"190,461",11.22,11.00,
28,카카오뱅크,"22,950",650,-2.75%,"5,000","109,418","476,767",13.58,"1,841,262",41.50,4.68,
